,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA
Capacity Factor,Biomass,%,2022,58%,63%,3%,32%,74%,78%,78%,48%,64%,62%,80%
Capacity Factor,Biomass,%,2023,59%,68%,4%,22%,63%,78%,79%,51%,63%,61%,80%
Capacity Factor,Biomass,%,2024,53%,60%,3%,17%,51%,77%,74%,48%,51%,57%,80%
Capacity Factor,Biomass,%,2025,47%,52%,3%,14%,48%,70%,69%,44%,39%,42%,77%
Capacity Factor,Biomass,%,2026,41%,50%,4%,8%,45%,49%,60%,34%,30%,27%,76%
Capacity Factor,Biomass,%,2027,40%,53%,5%,7%,44%,50%,58%,31%,24%,16%,77%
Capacity Factor,Biomass,%,2028,41%,56%,4%,8%,43%,55%,62%,32%,21%,11%,78%
Capacity Factor,Biomass,%,2029,42%,60%,6%,9%,42%,56%,67%,34%,21%,9%,77%
Capacity Factor,Biomass,%,2030,43%,61%,11%,10%,43%,59%,70%,34%,21%,9%,76%
Capacity Factor,Nuclear,%,2017,79%,86%,80%,170%,97%,73%,,80%,78%,91%,40%
Capacity Factor,Nuclear,%,2018,80%,82%,83%,88%,97%,81%,,80%,80%,86%,43%
Capacity Factor,Nuclear,%,2019,76%,87%,75%,77%,92%,78%,,76%,77%,83%,38%
Capacity Factor,Nuclear,%,2020,74%,83%,68%,37%,92%,75%,0%,71%,62%,71%,40%
Capacity Factor,Nuclear,%,2021,79%,81%,49%,51%,97%,68%,0%,87%,74%,73%,48%
Capacity Factor,Nuclear,%,2022,71%,78%,61%,43%,94%,59%,0%,67%,71%,62%,44%
Capacity Factor,Nuclear,%,2023,78%,81%,61%,75%,89%,72%,0%,88%,76%,74%,43%
Capacity Factor,Nuclear,%,2024,77%,81%,62%,79%,90%,73%,0%,84%,76%,74%,44%
Capacity Factor,Nuclear,%,2025,77%,81%,62%,65%,91%,72%,0%,81%,63%,74%,50%
Capacity Factor,Nuclear,%,2026,77%,80%,62%,75%,90%,66%,0%,80%,72%,73%,55%
Capacity Factor,Nuclear,%,2027,75%,81%,52%,76%,90%,63%,0%,77%,74%,74%,59%
Capacity Factor,Nuclear,%,2028,76%,81%,57%,68%,90%,63%,0%,76%,73%,74%,63%
Capacity Factor,Nuclear,%,2029,76%,76%,61%,69%,89%,63%,0%,74%,72%,74%,70%
Capacity Factor,Nuclear,%,2030,76%,74%,62%,70%,89%,65%,0%,73%,72%,73%,77%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
