				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Capacity Factor	Hydropower	%	2026	36.054175%	39.990834%	34.711953%	24.138049%	42.024876%	35.964424%	35.398030%	28.378816%	40.529236%	38.850503%	18.806630%
Capacity Factor	Hydropower	%	2027	36.870365%	40.016129%	35.104576%	25.215230%	41.847380%	39.644324%	36.651635%	30.049591%	41.260536%	40.920809%	19.740409%
Capacity Factor	Hydropower	%	2028	37.174914%	40.562906%	33.955108%	24.684754%	41.914735%	40.152067%	38.812988%	30.417576%	41.982096%	40.815562%	19.856980%
Capacity Factor	Hydropower	%	2029	37.296529%	40.214120%	36.211538%	24.857389%	42.032473%	40.079608%	37.434672%	30.223347%	42.234324%	42.704453%	20.074724%
Capacity Factor	Hydropower	%	2030	36.912296%	39.485417%	34.695593%	25.024638%	41.924720%	39.971380%	37.775017%	29.893598%	42.113206%	41.797332%	20.688945%
Capacity Factor	Geothermal	%	2017	67.983448%	57.178838%		107.026318%	66.223660%	58.033697%	60.911063%	57.311172%	75.485755%	174.160905%	69.759007%
Capacity Factor	Geothermal	%	2018	76.232919%	70.549709%		83.537533%	73.579172%	34.557688%	73.038551%	79.195220%	81.165369%	87.331839%	73.781851%
Capacity Factor	Geothermal	%	2019	68.745737%	56.885483%		73.153310%	54.192921%	61.774810%	69.641881%	84.359424%	65.846350%	80.477362%	79.687095%
Capacity Factor	Geothermal	%	2020	62.469854%	57.401631%		68.839419%	28.725106%	62.617936%	73.994107%	82.939500%	67.067417%	69.420434%	78.372480%
Capacity Factor	Geothermal	%	2021	70.572726%	69.549502%		70.691780%	71.552265%	48.619188%	72.204133%	74.748735%	66.494165%	61.130883%	70.236815%
Capacity Factor	Geothermal	%	2022	67.280946%	56.137476%	10.855199%	68.034809%	69.477029%	69.666177%	65.518472%	67.900848%	67.914118%	59.276914%	69.863663%
Capacity Factor	Geothermal	%	2023	66.678593%	70.141973%	56.940460%	67.893852%	69.324754%	69.743615%	65.739242%	68.259725%	65.239328%	63.430826%	63.945610%
Capacity Factor	Geothermal	%	2024	65.599725%	69.474161%	69.071807%	67.474127%	70.528426%	69.466953%	62.555483%	66.998010%	66.863097%	55.207649%	67.313272%
Capacity Factor	Geothermal	%	2025	60.780429%	70.814124%	10.924571%	64.237739%	65.891533%	58.825951%	59.188303%	65.513097%	63.879695%	41.958911%	69.128288%
Capacity Factor	Geothermal	%	2026	57.551985%	10.252220%	12.860126%	53.738941%	67.763881%	10.921463%	65.264703%	55.066293%	60.779346%	55.409866%	55.098713%
Capacity Factor	Geothermal	%	2027	56.714938%	25.486216%	36.683683%	43.600838%	67.552911%	23.392984%	67.610410%	53.498653%	62.619310%	67.872258%	61.951116%
Capacity Factor	Geothermal	%	2028	60.094482%	45.418948%	34.883216%	50.598380%	65.763605%	42.770513%	69.605669%	61.494915%	62.308528%	69.966057%	65.937120%
Capacity Factor	Geothermal	%	2029	61.287924%	56.166584%	43.902946%	58.956860%	60.998021%	46.964993%	69.702813%	56.910073%	61.799484%	69.951642%	66.275025%
Capacity Factor	Geothermal	%	2030	63.064723%	68.764169%	51.875202%	63.421938%	59.897629%	50.506479%	69.644357%	55.001985%	61.095031%	69.975633%	66.484645%
