Electricity Generation	coal fired	GWh	2027	  9,366,176.3 	  5,722,438.91 	1773126.91	76090.22	383537.71	155196.87	465225.70	215125.96	12509.89	174253.11	388671.01																																																																																																																																																																																																																																																																
Electricity Generation	coal fired	GWh	2028	  9,266,409.1 	  5,693,529.60 	1827912.64	74488.13	357788.33	156946.23	449336.60	198876.51	10477.34	174430.78	322622.96																																																																																																																																																																																																																																																																
Electricity Generation	coal fired	GWh	2029	  9,108,929.5 	  5,645,280.41 	1852859.19	72628.61	339630.45	153685.24	434993.21	185053.37	9499.33	172658.85	242640.80																																																																																																																																																																																																																																																																
Electricity Generation	coal fired	GWh	2030	  8,914,254.3 	  5,586,927.85 	1872629.26	71688.22	325565.82	148680.66	403468.90	168167.76	8746.17	169901.51	158478.17																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2017	  48,238.3 	3577.00	0.00	0.00	154.58	0.00	283.33	43913.90	0.00	0.00	309.48																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2018	  70,012.9 	7306.15	0.00	0.00	149.88	0.00	177.27	62108.59	0.00	0.00	271.04																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2019	  86,012.5 	13473.56	0.00	0.00	129.24	0.00	130.35	72011.55	0.00	0.00	267.84																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2020	  107,857.7 	19716.18	0.00	0.00	131.58	0.00	135.53	87465.15	0.00	0.00	409.31																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2021	  131,036.2 	34914.36	0.00	0.00	147.25	0.00	581.37	94865.13	0.00	0.00	528.08																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2022	  172,162.7 	67241.89	0.48	0.00	601.23	0.00	2227.85	101481.18	0.00	0.00	610.06																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2023	  225,926.7 	94186.92	2.49	0.00	3184.13	11.65	4339.78	122947.71	273.07	0.00	980.91																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2024	  277,510.8 	115561.15	21.43	0.11	5725.02	488.05	5963.07	145258.74	1506.76	0.00	2986.47																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2025	  317,821.8 	126660.57	179.99	41.57	8397.47	2659.27	6416.73	161666.86	2275.08	0.00	9524.20																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2026	  373,361.7 	136801.27	848.75	596.11	11102.24	7188.30	6762.58	188293.45	2408.82	36.30	19323.86																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2027	  437,057.4 	148907.91	2132.91	2596.95	14711.08	11409.99	7171.20	219764.25	2415.51	316.29	27631.28																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2028	  500,936.5 	164169.17	4787.73	8129.66	18526.25	13677.99	8876.70	244713.56	2428.27	736.99	34890.21																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2029	  597,528.6 	187567.96	9939.16	19784.23	24879.43	15959.83	10784.90	279491.69	2430.54	1641.97	45048.93																																																																																																																																																																																																																																																																
Electricity Generation	fixed offshore wind	GWh	2030	  724,986.7 	224411.86	18318.48	33173.38	32880.73	18893.49	13437.05	323018.24	4538.85	2850.31	53464.37																																																																																																																																																																																																																																																																
Electricity Generation	floating offshore wind	GWh	2017																																																																																																																																																																																																																																																																											
Electricity Generation	floating offshore wind	GWh	2018	  230.0 							230.02																																																																																																																																																																																																																																																																			
Electricity Generation	floating offshore wind	GWh	2019	  205.5 							147.24			58.25																																																																																																																																																																																																																																																																
Electricity Generation	floating offshore wind	GWh	2020	  169.1 	10.11	0.00	0.00	0.00	0.00	0.10	158.73	0.00	0.00	0.19																																																																																																																																																																																																																																																																
